meg78abd input data

catch.n,1,2,3,4,5,6,7,8,9,10
1988,126.258,967.61,1438.069,1059.702,589.115,226.125,105.397,49.94
1989,113.926,835.361,1161.94,850.88,511.631,269.274,157.465,54.846
1990,54.344,561.699,976.488,795.505,494.339,215.602,90.522,24.432
1991,177.454,1421.127,1803.51,1116.767,544.986,230.144,110.124,30.07
1992,231.736,1440.325,1770.965,1073.656,482.633,190.636,114.36,50.401
1993,158.742,1101.035,1427.992,924.292,469.731,209.465,120.661,47.687
1994,127.326,728.091,933.8,621.201,328.077,142.285,69.64,22.834
1995,55.907,491.96,771.957,571.188,321.884,149.724,87.898,39.926
1996,11.268,150.818,374.45,387.157,307.32,181.881,112.162,51.068
1997,19.009,281.668,597.774,541.344,371.551,192.987,105.49,41.013
1998,19.237,310.237,567.43,447.654,294.648,168.215,103.875,44.13
